AI;Habilidade;Acerto;Erro
3¼;D03;0,42;0,58
3¼;D15;0,44;0,56
3¼;D07;0,42;0,58
4¼;D12;0,32;0,68
4¼;D12;0,47;0,53
4¼;D03;0,45;0,55
4¼;D09;0,44;0,56
4¼;D09;0,29;0,71
4¼;D06;0,47;0,53
4¼;D15;0,46;0,54
4¼;D02;0,41;0,59
4¼;D02;0,44;0,56
4¼;D05;0,43;0,57
4¼;D05;0,39;0,61
4¼;D04;0,49;0,51
4¼;D04;0,39;0,61
4¼;D10;0,3;0,7
4¼;D10;0,38;0,62
4¼;D06;0,47;0,53
5¼;D03;0,49;0,51
5¼;D03;0,1;0,9
5¼;D03;0,35;0,65
5¼;D09;0,16;0,84
5¼;D01;0,49;0,51
5¼;D01;0,38;0,62
5¼;D15;0,46;0,54
5¼;D15;0,34;0,66
5¼;D02;0,44;0,56
5¼;D02;0,43;0,57
5¼;D02;0,4;0,6
5¼;D05;0,47;0,53
5¼;D04;0,41;0,59
5¼;D10;0,41;0,59
5¼;D07;0,37;0,63
5¼;D07;0,34;0,66
6¼;D12;0,29;0,71
6¼;D03;0,26;0,74
6¼;D03;0,49;0,51
6¼;D03;0,38;0,62
6¼;D03;0,35;0,65
6¼;D09;0,43;0,57
6¼;D09;0,47;0,53
6¼;D09;0,34;0,66
6¼;D01;0,47;0,53
6¼;D01;0,32;0,68
6¼;D01;0,35;0,65
6¼;D01;0,47;0,53
6¼;D06;0,32;0,68
6¼;D06;0,42;0,58
6¼;D15;0,42;0,58
6¼;D02;0,44;0,56
6¼;D02;0,37;0,63
6¼;D02;0,19;0,81
6¼;D02;0,33;0,67
6¼;D05;0,36;0,64
6¼;D04;0,48;0,52
6¼;D04;0,38;0,62
6¼;D13;0,46;0,54
6¼;D13;0,38;0,62
6¼;D10;0,45;0,55
6¼;D07;0,45;0,55
6¼;D14;0,32;0,68
6¼;D14;0,27;0,73
6¼;D14;0,3;0,7
6¼;D14;0,18;0,82
6¼;D06;0,32;0,68
6¼;D06;0,42;0,58
